id,name,element,hp,atk,def,spd,total,talent,variant,series
987,Asamine Matakara,Null,105,80,110,85,380,Cursed,-,Bucchigiri?!
988,Senya,Fire,88,85,80,90,343,Amplifier,ATK,Bucchigiri?!
989,Ichiya,Water,78,94,83,82,337,Unlucky Coin,-,Bucchigiri?!
990,Marito Jin,Grass,90,83,93,72,338,Divine Blessing,-,Bucchigiri?!
991,Mahoro Jin,Neutral,94,70,94,80,338,Elemental Drain,-,Bucchigiri?!
992,Akutarou Shindo,Water,79,99,79,82,339,Yin Yang,-,Bucchigiri?!
993,Kakeru Zabu,Electric,90,90,90,70,340,Undying Will,-,Bucchigiri?!
994,Komao Sakigake,Electric,93,84,82,85,344,Elemental Strike,Electric/ATK,Bucchigiri?!
995,Nagare Jabashiri,Ground,95,99,65,80,339,Pain For Power,-,Bucchigiri?!
996,Bai Yuechu,Fire,81,96,85,78,340,Elemental Drain,-,Fox Spirit Matchmaker
997,Alexia Midgar,Null,91,60,86,91,328,Balancing Strike,-,The Eminence In Shadow
998,Alpha,Dark,86,79,85,80,330,Trick Room,ATK,The Eminence In Shadow
999,Aurora (Witch Of Calamity),Null,80,72,96,83,331,Elemental Strike,Ground/ATK,The Eminence In Shadow
1000,Beatrix,Light,73,75,102,89,339,Double-edged Strike,Electric/DEF,The Eminence In Shadow
1001,Beta,Dark,80,81,95,82,338,Regeneration,-,The Eminence In Shadow
1002,Cid Kagenou,Dark,82,85,82,86,335,Life Sap,-,The Eminence In Shadow
1003,Delta,Dark,94,91,78,77,340,Pain For Power,-,The Eminence In Shadow
1004,Epsilon (Eis),Light,103,70,103,79,355,Recoil,-,The Eminence In Shadow
1005,Eta,Dark,84,85,86,84,339,Amplifier,DEF,The Eminence In Shadow
1006,Gamma,Electric,96,67,88,85,336,Devour,-,The Eminence In Shadow
1007,Rose Oriana,Grass,93,84,80,78,335,Elemental Drain,-,The Eminence In Shadow
1008,Zeta,Dark,100,70,80,93,343,Dexterity Drive,Grass,The Eminence In Shadow
1009,Tushan Susu,Water,91,83,83,82,339,Rising Resolve,-,Fox Spirit Matchmaker
1010,Taro Sakamoto,Null,90,81,92,77,340,Omniscient Hack,-,Sakamoto Days
1011,Shin Asakura,Null,79,86,81,93,339,Evasion,-,Sakamoto Days
1012,Lu Xiaotang,Ground,85,70,97,84,336,Regeneration,-,Sakamoto Days
1013,Heisuke Mashimo,Electric,92,87,80,76,335,Precision,-,Sakamoto Days
1014,Osaragi,Dark,88,83,87,81,339,Elemental Drain,-,Sakamoto Days
1015,Shishiba,Ground,90,95,80,75,340,Elemental Strike,Ground/ATK,Sakamoto Days
1016,Yoichi Nagumo,Neutral,82,78,95,82,337,Unlucky Coin,-,Sakamoto Days
1017,Kei Uzuki,Light,90,79,94,80,343,Arcane Affinity,Water,Sakamoto Days
1018,Rion Akao,Electric,91,87,85,77,340,Atmospheric Acceleration,Electric,Sakamoto Days
1019,Hyo,Ground,88,92,88,72,340,Brutality,-,Sakamoto Days
1020,Pennywise,Water,102,80,93,60,335,Executioner,-,April Fools 2025
1021,Dizzy,Fire,80,90,80,90,340,Miracle Injection,-,April Fools 2025
1022,Trixie,Null,81,97,83,76,337,Lucky Coin,-,April Fools 2025
1023,Trixx,Dark,99,95,78,68,340,Divine Blessing,-,April Fools 2025
1024,Dante,Null,90,90,90,70,340,Devour,-,Devil May Cry
1025,Jo Togame,Light,84,86,90,80,340,Rising Resolve,-,Wind Breaker
1026,Hajime Umemiya,Null,82,76,92,86,336,Protector,-,Wind Breaker
1027,Haruka Sakura,Grass,79,94,81,85,339,Yin Yang,-,Wind Breaker
1028,Hayato Suo,Ground,80,81,87,90,338,Atmospheric Acceleration,Ground,Wind Breaker
1029,Akihiko Nirei,Ground,93,81,83,80,337,Omniscient Hack,-,Wind Breaker
1030,Mitsuki Kiryu,Electric,84,80,85,90,339,Ultimate Combo,-,Wind Breaker
1031,Kyotaro Sugishita,Fire,90,89,83,75,337,Berserker,ATK,Wind Breaker
1032,Taiga Tsugeura,Fire,85,87,81,85,338,Offensive Stance,-,Wind Breaker
1033,Ren Kaji,Electric,87,84,89,79,339,Soul Stealer,DEF,Wind Breaker
1034,Toma Hiragi,Ground,80,87,85,80,332,Balancing Strike,-,Wind Breaker
1035,Choji Tomiyama,Dark,84,94,85,77,340,Vengeance,DEF,Wind Breaker
1036,Beatrice,Null,101,75,90,74,340,Celestial Blessing,-,Re:Zero
1037,Petelgeuse Romanee Conti,Dark,88,91,80,79,338,Arcane Affinity,Dark,Re:Zero
1038,Izana Kurokawa,Fire,106,90,103,80,379,Cursed,-,Tokyo Revengers
1039,Tetta Kisaki,Ground,83,98,93,66,340,Foul Play,-,Tokyo Revengers
1040,Shuji Hanma,Light,83,87,89,77,336,Dominance,-,Tokyo Revengers
1041,Tsubaki Nakatsukasa,Ground,77,99,79,82,337,Transformation,ATK,Soul Eater
1042,Joker (FF),Fire,75,95,82,87,339,Lucky Coin,-,Fire Force
1043,Arrow,Fire,83,102,85,70,340,Precision,-,Fire Force
1044,Haumea,Electric,99,81,94,67,341,Elemental Manipulation,Electric,Fire Force
1045,Souji Okita,Null,97,91,70,78,336,Miracle Injection,-,Record Of Ragnarok
1046,Sasaki Kojiro,Dark,91,91,77,80,339,Yin Yang,-,Record Of Ragnarok
1047,Runa Yomozuki,Electric,79,85,80,90,334,Omniscient Hack,-,Kakegurui
1048,Midari Ikishima,Null,85,81,76,98,340,Unlucky Coin,-,Kakegurui
1049,Mitsuri Kanroji,Light,81,94,72,88,335,Devour,-,Demon Slayer
1050,Mu Dan,Fire,90,80,90,80,340,Transformation,DEF,Hells Paradise
1051,Aoba Kuronuma,Water,87,87,92,74,340,Blood Surge,-,Durarara!!
1052,Celty Sturluson,Dark,103,82,78,74,337,Elemental Manipulation,Electric,Durarara!!
1053,Izaya Orihara,Null,75,99,80,85,339,Rising Resolve,-,Durarara!!
1054,Shizuo Heiwajima,Neutral,85,84,80,81,330,Brutality,-,Durarara!!
1055,Shinra Kishitani,Neutral,87,80,92,81,340,Regeneration,-,Durarara!!
1056,Masaomi Kida,Electric,79,85,96,80,340,Evasion,-,Durarara!!
1057,Anri Sonohara,Fire,88,82,90,78,338,Celestial Blessing,-,Durarara!!
1058,Namie Yagiri,Null,93,78,99,68,338,Rejuvenation,-,Durarara!!
1059,Vorona,Dark,101,83,102,70,356,Recoil,-,Durarara!!
1060,Erika Karisawa,Electric,63,92,89,90,334,Amplifier,ATK,Durarara!!
1061,Kasuka Heiwajima (Yuuhei Hanejima),Ground,90,93,95,60,338,Arcane Affinity,Ground,Durarara!!
1062,Mika Harima,Grass,99,69,99,69,336,Undying Will,-,Durarara!!
1063,Walker Yumasaki,Grass,83,85,92,81,341,Blaze,-,Durarara!!
1064,Kyohei Kadota,Grass,72,92,70,106,340,Dominance,-,Durarara!!
1065,Mikado Ryugamine,Water,86,83,89,82,340,Soul Stealer,ATK,Durarara!!
1066,Vergil,Electric,85,80,104,71,340,Regeneration,-,Devil May Cry
1067,Shinpei Ajiro,Null,90,73,106,65,334,Reversion,-,Summer Time Rendering
1068,Mio Kofune,Water,90,99,75,70,334,Lucky Coin,-,Summer Time Rendering
1069,Ushio Kofune,Water,83,75,80,99,337,Undying Will,-,Summer Time Rendering
1070,Hizuru Minakata,Dark,70,99,99,70,338,Lethal Clarity,-,Summer Time Rendering
1071,Sou Hishigata,Fire,83,88,82,84,337,Brutality,-,Summer Time Rendering
1072,Tokiko Hishigata,Fire,77,88,90,85,340,Grievous Limiter,-,Summer Time Rendering
1073,Ginjiro Nezu,Null,91,85,86,73,335,Precision,-,Summer Time Rendering
1074,Ryunosuke Minakata,Light,82,83,90,86,341,Protector,-,Summer Time Rendering
1075,Masahito Karikiri,Neutral,70,80,90,100,340,Atmospheric Acceleration,Neutral,Summer Time Rendering
1076,Haine,Null,68,95,99,77,339,Bloodthirster,-,Summer Time Rendering
1077,Spike Corgi,Grass,84,83,96,77,340,Celestial Blessing,-,Summer Splash 2025
1078,Boss Hippo,Fire,96,87,70,80,333,Trick Room,DEF,Summer Splash 2025
1079,Chill Paws,Electric,75,90,92,82,339,Overload,DEF,Summer Splash 2025
1080,Chihiro Ogino,Light,100,70,100,70,340,Rejuvenation,-,Spirited Away
1081,Priscilla Barielle,Fire,90,82,88,76,336,Regeneration,-,Re:Zero
1082,Mash Kyrielight,Water,81,81,99,69,330,Protector,-,Fate
1083,Orihime Inoue,Electric,88,80,80,90,338,Rejuvenation,-,Bleach
1084,Elizabeth Liones,Grass,80,92,88,80,340,Soul Stealer,DEF,7 Deadly Sins
1085,Zeldris,Null,93,68,84,70,315,Trick Room,ATK,7 Deadly Sins
1086,Mereoleona Vermillion,Fire,80,93,80,88,341,Brutality,-,Black Clover
1087,Chelsea,Fire,72,93,80,94,339,Poison,-,Akame Ga Kill!
1088,Silver Fang (Bang),Null,81,92,92,74,339,Blood Surge,-,One Punch Man
1089,King,Neutral,91,79,82,80,332,Amplifier,DEF,One Punch Man
1090,Muhammad Avdol,Fire,98,82,90,70,340,Blaze,-,Jojos Bizarre Adventure
1091,Hero X,Null,92,93,85,70,340,Elemental Drain,-,To Be Hero X
1092,Nice,Null,97,80,91,71,339,Soul Stealer,DEF,To Be Hero X
1093,E Soul (Yang Cheng),Electric,97,87,87,75,346,Yin Yang,-,To Be Hero X
1094,Queen,Null,87,99,80,74,340,Trick Room,DEF,To Be Hero X
1095,Dragon Boy,Dark,89,81,91,82,343,Rising Resolve,-,To Be Hero X
1096,Ghostblade,Dark,79,97,70,94,340,Atmospheric Acceleration,Dark,To Be Hero X
1097,Loli,Water,91,63,103,74,331,Time Attack,Water/DEF,To Be Hero X
1098,Lucky Cyan,Light,90,90,90,70,340,Lucky Coin,-,To Be Hero X
1099,The Johnnies,Grass,92,94,67,85,338,Miracle Injection,-,To Be Hero X
1100,Ahu,Ground,81,97,93,71,342,Reversion,-,To Be Hero X
1101,Lin Ling,Fire,90,81,83,86,340,Undying Will,-,To Be Hero X
1102,Nijika Ijichi,Electric,103,67,86,82,338,Unlucky Coin,-,Bocchi the Rock!
1103,Ikuyo Kita,Fire,92,77,83,88,340,Blood Surge,-,Bocchi the Rock!
1104,Hitori Gotoh (Bocchi),Electric,95,95,95,95,380,Cursed,-,Bocchi the Rock!
1105,Ryo Yamada,Water,72,99,70,99,340,Atmospheric Acceleration,Water,Bocchi the Rock!
1106,Seika Ijichi,Neutral,85,95,95,85,360,Recoil,-,Bocchi the Rock!
1107,Futari Gotoh,Grass,85,76,104,73,338,Freeze,-,Bocchi the Rock!
1108,Michiyo Gotoh,Fire,64,104,76,94,338,Double-edged Strike,Electric/ATK,Bocchi the Rock!
1109,Jimihen,Light,99,60,99,80,338,Brutality,-,Bocchi the Rock!
1110,Pa San (Alto Otogi),Null,81,86,89,80,336,Berserker,DEF,Bocchi the Rock!
1111,Kikuri Hiroi,Fire,94,99,75,78,346,Amplifier,DEF,Bocchi the Rock!
1112,Naoki Gotoh,Null,88,85,86,81,340,Arcane Affinity,Null,Bocchi the Rock!
1113,Haku,Water,89,95,81,75,340,Elemental Manipulation,Electric,Spirited Away
1114,Ponyo,Water,105,60,100,80,345,Transformation,DEF,Ponyo
1115,Ice Bear Alpha (Tank),Null,79,102,82,77,340,Offensive Stance,-,Solo Leveling (High Society 2025)
1116,Kim Chul (Iron),Neutral,110,73,82,70,335,Reflector,-,Solo Leveling (High Society 2025)
1117,Kargalgan (Tusk),Fire,81,89,95,70,335,Unlucky Coin,-,Solo Leveling (High Society 2025)
1118,Ant King (Beru),Ground,85,86,90,79,340,Elemental Drain,-,Solo Leveling (High Society 2025)
1119,Esil Radiru,Dark,86,70,87,95,338,Celestial Blessing,-,Solo Leveling
1120,Baek Yoonho,Null,76,102,80,80,338,Pain For Power,-,Solo Leveling
1121,Goto Ryuji,Dark,84,85,74,86,329,Vengeance,ATK,Solo Leveling
1122,Hwang Dongsoo,Null,86,96,75,83,340,Brutality,-,Solo Leveling
1123,Min Byung Gyu,Grass,100,80,90,70,340,Undying Will,-,Solo Leveling
1124,Kaisellin (Kaisel),Fire,91,98,82,69,340,Freeze,-,Solo Leveling (High Society 2025)
1125,Baran,Electric,87,91,71,91,340,Blaze,-,Solo Leveling
1126,Ma Dongwook,Grass,110,95,102,84,391,Cursed,-,Solo Leveling
1127,San,Dark,83,105,76,75,339,Elemental Strike,Light/ATK,Princess Mononoke
1128,Rudo Surebrec,Null,80,98,84,78,340,Omniscient Hack,-,Gachiakuta
1129,Enjin,Electric,90,90,80,80,340,Elemental Drain,-,Gachiakuta
1130,Zanka Nijiku,Water,99,75,95,70,339,Balancing Strike,-,Gachiakuta
1131,Riyo Reaper,Fire,74,92,98,76,340,Devour,-,Gachiakuta
1132,Tamsy Caines,Ground,95,73,82,89,339,Elemental Manipulation,Dark,Gachiakuta
1133,Delmon Gates,Water,85,86,98,70,339,Soul Stealer,DEF,Gachiakuta
1134,Gris Rubion,Neutral,100,67,100,67,334,Amplifier,DEF,Gachiakuta
1135,Follo Tunito,Grass,79,103,88,70,340,Brutality,-,Gachiakuta
1136,Jabber Wonger,Dark,95,99,67,79,340,Undying Will,-,Gachiakuta
1137,August Stilza,Null,80,94,90,77,341,Divine Blessing,-,Gachiakuta
1138,Eishia Stilza,Electric,103,62,85,90,340,Celestial Blessing,-,Gachiakuta
1139,Amo Empool,Null,103,80,103,67,353,Recoil,-,Gachiakuta
1140,Shizuku Murasaki,Water,83,93,90,74,340,Devour,-,Hunter X Hunter
1141,Meruem,Grass,90,80,90,80,340,Elemental Drain,-,Hunter X Hunter
1142,Chrollo Lucilfer,Null,93,91,80,73,337,Rising Resolve,-,Hunter X Hunter
1143,Kite,Null,78,89,87,87,341,Lucky Coin,-,Hunter X Hunter
1144,Pochita,Neutral,75,95,95,72,337,Arcane Affinity,Neutral,Chainsaw Man
1145,Kobeni Higashiyama,Null,80,83,80,97,340,Underdog,DEF,Chainsaw Man
1146,Tsunade,Grass,89,78,94,80,341,Bloodthirster,-,Naruto
1147,Kyubey,Neutral,97,60,94,89,340,Trick Room,ATK,Madoka Magica
1148,Klein Moretti,Null,93,87,87,75,342,Yin Yang,-,Lord Of Mysteries
1149,Alger Wilson,Water,101,83,95,60,339,Elemental Drain,-,Lord Of Mysteries
1150,Audrey Hall,Light,99,80,94,66,339,Berserker,DEF,Lord Of Mysteries
1151,Leonard Mitchell,Grass,85,89,89,80,343,Unlucky Coin,-,Lord Of Mysteries
1152,Daly Simone,Null,84,80,81,95,340,Mana Reaver,-,Lord Of Mysteries
1153,Dunn Smith,Dark,79,87,82,92,340,Paralysis,-,Lord Of Mysteries
1154,Azik Eggers,Neutral,89,95,73,83,340,Elemental Manipulation,Dark,Lord Of Mysteries
1155,Melissa Moretti,Water,90,80,80,85,335,Arcane Affinity,Water,Lord Of Mysteries
1156,Benson Moretti,Neutral,78,103,85,74,340,Breaker,DEF,Lord Of Mysteries
1157,Trissy (Tris),Dark,70,100,70,100,340,Freeze,-,Lord Of Mysteries
1158,Megose,Light,88,86,89,77,340,Rising Resolve,-,Lord Of Mysteries
1159,Old Neil,Electric,95,80,82,81,338,Celestial Influence,-,Lord Of Mysteries
1160,Gravemonger,Dark,95,97,79,70,341,Trick Room,DEF,Halloween 2025
1161,Mourngrave Oracle,Null,93,67,99,81,340,Time Attack,Dark/DEF,Halloween 2025
1162,Widowbane Creeper,Fire,80,85,90,90,345,Lethal Clarity,-,Halloween 2025
1163,Superman,Light,72,107,72,89,340,Overload,ATK,Batman Ninja Vs Yakuza League
1164,Omni Man (Nolan),Null,98,89,80,75,342,Double-edged Strike,Null/ATK,Invincible
1165,Invincible (Mark Grayson),Electric,89,78,93,80,340,Brutality,-,Invincible
1166,Atom Eve (Samantha Eve Wilkins),Null,98,71,97,74,340,Regeneration,-,Invincible
1167,Conquest,Null,86,93,77,84,340,Executioner,-,Invincible
1168,Cecil Stedman,Grass,88,93,76,83,340,Foul Play,-,Invincible
1169,Totoro,Water,92,83,85,73,333,Life Sap,-,My Neighbor Totoro
1170,Herald Of Salvation,Light,90,90,90,90,360,Divine Blessing,-,Clan Breach
1171,Herald Of Damnation,Dark,90,90,90,90,360,Restricted Instinct,-,Clan Breach
1172,Giovanni,Null,100,87,84,68,339,Dominance,-,Pokemon
1173,James,Water,74,99,93,70,336,Time Bomb,-,Pokemon
1174,Jessie,Fire,97,62,85,90,334,Omniscient Hack,-,Pokemon
1175,Meowth,Null,82,83,84,87,336,Vengeance,DEF,Pokemon
1176,Wobbuffet,Null,75,88,95,77,335,Unlucky Coin,-,Pokemon
1177,Cynthia,Grass,80,94,92,73,339,Blood Surge,-,Pokemon
1178,May,Electric,98,67,98,76,339,Undying Will,-,Pokemon
1179,Serena,Dark,95,79,80,86,340,Smokescreen,-,Pokemon
1180,Eevee,Neutral,85,85,85,85,340,Elemental Manipulation,Dark,Pokemon
1181,Snivy,Grass,81,80,79,99,339,Overload,SPD,Pokemon
1182,Snorlax,Neutral,99,70,99,70,338,Endurance,-,Pokemon
1183,Gardevoir,Grass,82,93,78,85,338,Aegis,-,Pokemon
1184,Cozy Penguin,Null,85,85,82,88,340,Celestial Influence,-,Christmas 2025
1185,Northstar Polar Bear,Electric,98,93,78,71,340,Freeze,-,Christmas 2025
1186,Snowy Owl,Light,81,88,72,97,338,Atmospheric Acceleration,Light,Christmas 2025
1187,Spongebob,Grass,95,92,81,72,340,Elemental Manipulation,Water,The Spongebob Movie
1188,Chisato Nishikigi,Null,87,93,80,80,340,Evasion,-,Lycoris Recoil
1189,Takina Inoue,Grass,91,79,84,77,331,Protector,-,Lycoris Recoil
1190,Kurumi (Walnut),Grass,99,75,84,80,338,Omniscient Hack,-,Lycoris Recoil
1191,Mizuki Nakahara,Neutral,99,99,70,71,339,Divine Blessing,-,Lycoris Recoil
1192,Majima,Ground,70,94,91,83,338,Ultimate Combo,-,Lycoris Recoil
1193,Fuki Harukawa,Water,80,97,70,92,339,Aegis,-,Lycoris Recoil
1194,Robota,Null,85,89,99,62,335,Undying Will,-,Lycoris Recoil
1195,Sakura Otome,Light,90,90,80,90,350,Recoil,-,Lycoris Recoil
1196,Shinji Yoshimatsu,Null,88,90,74,88,340,Paralysis,-,Lycoris Recoil
1197,Mika,Null,91,85,89,74,339,Restricted Instinct,-,Lycoris Recoil
1198,Iruma Suzuki,Grass,84,93,74,93,344,Evasion,-,Welcome To Demon School! Iruma Kun
1199,Alice Asmodeus,Fire,67,98,98,82,345,Double-edged Strike,Fire/ATK,Welcome To Demon School! Iruma Kun
1200,Ameri Azazel,Light,99,99,68,70,336,Omniscient Hack,-,Welcome To Demon School! Iruma Kun
1201,Kalego Naberius,Electric,87,79,88,83,337,Aegis,-,Welcome To Demon School! Iruma Kun
1202,Clara Valac,Electric,84,82,97,81,344,Trick Room,ATK,Welcome To Demon School! Iruma Kun
1203,Keroli Crocell,Water,77,83,94,81,335,Elemental Manipulation,Water,Welcome To Demon School! Iruma Kun
1204,Opera,Null,75,100,70,95,340,Pain For Power,-,Welcome To Demon School! Iruma Kun
1205,Sullivan,Dark,84,82,97,77,340,Yin Yang,-,Welcome To Demon School! Iruma Kun
1206,Sabro Sabnock,Grass,79,81,98,81,339,Endurance,-,Welcome To Demon School! Iruma Kun
1207,Balam Shichiro,Grass,83,83,83,86,335,Poison,-,Welcome To Demon School! Iruma Kun
1208,Jazz M Andro,Fire,74,93,78,95,340,Dexterity Drive,Electric,Welcome To Demon School! Iruma Kun
1209,Amy Kiriwo,Ground,93,74,91,73,331,Unlucky Coin,-,Welcome To Demon School! Iruma Kun
1210,Baal,Electric,70,99,80,90,339,Atmospheric Acceleration,Electric,Welcome To Demon School! Iruma Kun
1211,Patrick Star,Grass,96,70,99,69,334,Regeneration,-,The Spongebob Movie
1212,Kaori Miyazono,Water,98,88,67,85,338,Trick Room,DEF,Your Lie in April
1213,Kosei Arima,Grass,96,72,89,80,337,Trick Room,ATK,Your Lie in April
1214,Takeshi Aiza,Electric,83,89,87,79,338,Arcane Affinity,Grass,Your Lie in April
1215,Emi Igawa,Dark,78,80,97,83,338,Aegis,-,Your Lie in April
1216,Ryota Watari,Ground,86,92,80,81,339,Rejuvenation,-,Your Lie in April
1217,Tsubaki Sawabe,Light,80,89,80,91,340,Soul Stealer,DEF,Your Lie in April
1218,Catbus,Dark,85,76,82,97,340,Overload,SPD,My Neighbor Totoro
1219,Nikola Tesla,Electric,92,75,74,99,340,Atmospheric Acceleration,Electric,Record Of Ragnarok
1220,Yamato,Water,89,92,91,69,341,Foul Play,-,One Piece
1221,Isaac Netero,Ground,73,92,75,100,340,Dexterity Drive,Light,Hunter X Hunter
1222,Hanami,Grass,92,84,85,79,340,Arcane Affinity,Grass,Jujutsu Kaisen
1223,Qin Shi Huang,Null,98,72,100,70,340,Reflector,-,Record Of Ragnarok
1224,Divine General Mahoraga,Dark,90,88,81,81,340,Elemental Manipulation,Null,Jujutsu Kaisen
1225,Gol D Roger,Null,85,85,70,100,340,Ultimate Combo,-,One Piece
1226,Senjumaru Shutara,Light,92,70,98,80,340,Aegis,-,Bleach
1227,Quinella (Administrator),Null,100,100,75,68,343,Omniscient Hack,-,Sword Art Online
1228,Retsu Unohana (Yachiru Unohana),Fire,80,90,90,80,340,Yin Yang,-,Bleach
1229,Regulus Corneas,Null,82,97,92,69,340,Temporal Rewind,-,Re:Zero
1230,Nelliel Tu Odelschwanck,Ground,100,83,84,73,340,Balancing Strike,-,Bleach
1231,Merlin (Fate),Light,92,98,81,70,341,Elemental Drain,-,Fate
1232,Satoru (Mumen Rider),Null,98,72,88,80,338,Endurance,-,One Punch Man
1233,Panda,Ground,99,82,94,65,340,Aegis,-,Jujutsu Kaisen
1234,Master Roshi,Null,86,95,84,74,339,Transformation,DEF,Dragon Ball
1235,Leprechaun,Grass,90,88,83,84,345,Divine Fortune,Grass,Saint Patricks 2026
1236,Kiki,Null,90,81,73,96,340,Atmospheric Acceleration,Null,Kiki's Delivery Service
1237,Rakuro Hizutome (Sunraku),Null,80,94,73,98,345,Dexterity Drive,Null,Shangri La Frontier
1238,Emul,Neutral,85,90,79,86,340,Aegis,-,Shangri La Frontier
1239,Towa Amane (Arthur Pencilgon),Water,80,93,73,99,345,Omniscient Hack,-,Shangri La Frontier
1240,Kei Uomi (Oikatzo),Electric,76,90,74,95,335,Double-edged Strike,Null/ATK,Shangri La Frontier
1241,Rei Saiga (Psyger 0),Null,86,100,80,74,340,Lethal Clarity,-,Shangri La Frontier
1242,Akane Oki (Akane Akitsu),Fire,88,87,80,83,338,Atmospheric Acceleration,Fire,Shangri La Frontier
1243,Vysache,Electric,94,85,73,85,337,Transformation,DEF,Shangri La Frontier
1244,Bilac,Ground,88,92,80,69,329,Breaker,DEF,Shangri La Frontier
1245,Wethermon The Tombguard,Null,85,100,82,73,340,Reversion,-,Shangri La Frontier
1246,Lycagon The Nightslayer,Dark,120,115,65,81,381,Cursed,-,Shangri La Frontier
1247,Thragg,Dark,90,93,72,85,340,Brutality,-,Invincible
1248,Hiromi Higuruma,Light,82,93,84,81,340,Final Verdict,-,Jujutsu Kaisen
1249,Izuru Kamukura,Null,86,90,82,82,340,Foul Play,-,Danganronpa
1250,Tao Fa,Grass,82,74,91,93,340,Yin Yang,-,Hells Paradise
1251,Enji Todoroki (Endeavor),Null,90,96,80,66,332,Blaze,-,My Hero Academia
1252,Death Gun,Null,76,92,78,90,336,Time Bomb,-,Sword Art Online
1253,Ryunosuke Akutagawa,Dark,74,94,70,90,328,Double-edged Strike,Dark/ATK,Bungou Stray Dogs
1254,Pieck Finger,Ground,96,70,75,98,339,Atmospheric Acceleration,Ground,Attack On Titan
1255,Gyomei Himejima,Ground,94,86,100,60,340,Double-edged Strike,Ground/DEF,Demon Slayer
1256,Muichiro Tokito,Water,70,95,68,100,333,Smokescreen,-,Demon Slayer
1257,Monokuma,Dark,82,76,96,86,340,Divine Fortune,Dark,Danganronpa
1258,Donquixote Doflamingo,Null,86,92,82,80,340,Grievous Limiter,-,One Piece
1259,Monkey D Garp,Neutral,95,100,71,70,336,Time Attack,Neutral/HP,One Piece
1260,Marco The Phoenix,Fire,96,78,86,65,325,Rejuvenation,-,One Piece
1261,Koyomi Araragi,Dark,110,70,76,84,340,Life Sap,-,Monogatari Series
1262,Hitagi Senjougahara,Null,81,76,85,96,338,Smokescreen,-,Monogatari Series
1263,Shinobu Oshino,Dark,84,101,90,65,340,Elemental Drain,-,Monogatari Series
1264,Tsubasa Hanekawa,Light,82,67,95,95,339,Yin Yang,-,Monogatari Series
1265,Meme Oshino,Dark,85,85,85,85,340,Final Verdict,-,Monogatari Series
1266,Mayoi Hachikuji,Grass,92,80,91,75,338,Paralysis,-,Monogatari Series
1267,Suruga Kanbaru,Water,84,95,80,78,337,Miracle Injection,-,Monogatari Series
1268,Nadeko Sengoku,Null,92,69,84,93,338,Poison,-,Monogatari Series
1269,Karen Araragi,Neutral,92,104,85,96,377,Cursed,-,Monogatari Series
1270,Tsukihi Araragi,Fire,94,76,93,82,345,Undying Will,-,Monogatari Series
1271,Porco Rosso,Fire,82,88,72,99,341,Temporal Rewind,-,Porco Rosso
1272,Iori Kitahara,Water,89,96,83,70,338,Elemental Drain,-,Grand Blue
1273,Kohei Imamura,Water,97,73,93,77,340,Brutality,-,Grand Blue
1274,Chisa Kotegawa,Water,79,70,100,91,340,Divine Fortune,Water,Grand Blue
1275,Azusa Hamaoka,Grass,82,83,81,94,340,Atmospheric Acceleration,Fire,Grand Blue
1276,Nanaka Kotegawa,Light,93,97,67,83,340,Aegis,-,Grand Blue
1277,Aina Yoshiwara,Electric,98,97,75,70,340,Evasion,-,Grand Blue
1278,Ryujiro Kotobuki,Fire,75,98,82,82,337,Pain For Power,-,Grand Blue
1279,Shinji Tokita,Electric,80,90,80,90,340,Devour,-,Grand Blue
1280,Jinta Yadomi,Water,84,99,77,80,340,Arcane Affinity,Ground,Anohana: The Flower We Saw That Day
1281,Meiko Honma,Null,93,82,95,70,340,Divine Fortune,Dark,Anohana: The Flower We Saw That Day
1282,Naruko Anjou,Fire,81,73,87,99,340,Atmospheric Acceleration,Electric,Anohana: The Flower We Saw That Day
1283,Tetsudou Hisakawa,Neutral,90,93,80,75,338,Berserker,DEF,Anohana: The Flower We Saw That Day
1284,Atsumu Matsuyuki,Dark,79,96,80,83,338,Double-edged Strike,Light/ATK,Anohana: The Flower We Saw That Day
1285,Chiriko Tsurumi,Water,93,92,75,80,340,Underdog,ATK,Anohana: The Flower We Saw That Day
1286,Tsubasa Ozora,Null,78,82,89,91,340,Elemental Drain,-,Captain Tsubasa
1287,Kojiro Hyuga,Light,95,125,90,87,397,Cursed,-,Captain Tsubasa
1288,Genzo Wakabayashi,Ground,87,80,101,72,340,Aegis,-,Captain Tsubasa
1289,Taro Misaki,Electric,70,94,78,98,340,Pain For Power,-,Captain Tsubasa
1290,Ken Wakashimazu,Light,95,71,76,98,340,Overload,SPD,Captain Tsubasa
1291,Hikaru Matsuyama,Ground,97,86,61,95,339,Trick Room,DEF,Captain Tsubasa
1292,Lionel Messi,Water,88,99,66,87,340,Final Verdict,-,Summer 2026
1293,Cristiano Ronaldo,Fire,84,101,60,95,340,Foul Play,-,Summer 2026
1294,Neymar Jr,Electric,76,97,67,100,340,Divine Fortune,Dark,Summer 2026
